Title,Company,Location,Experience,Summary,Skills,skills_str,Cluster
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'data analytics', 'data science techniques', 'effective communication skills', 'generative ai', 'gpt', 'numpy', 'pandas', 'product management', 'python programming', 'sql']",aartificial intelligence data analytics data science techniques effective communication skills generative ai gpt numpy pandas product management python programming sql,4
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India",4-6 year,"Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...","['aartificial intelligence', 'algorithms', 'data structuring', 'design', 'machine learning techniques']",aartificial intelligence algorithms data structuring design machine learning techniques,0
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'analytical and problem solving', 'api', 'data analysis', 'database', 'design', 'effective communication skills', 'graphql', 'large language models  llms', 'nextjs', 'python programming', 'reactjs', 'teamwork', 'typescript']",aartificial intelligence analytical and problem solving api data analysis database design effective communication skills graphql large language models  llms nextjs python programming reactjs teamwork typescript,3
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models  llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models  llms python programming teamwork,3
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models  llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models  llms python programming teamwork,3
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...","['aartificial intelligence', 'data science techniques', 'large language models  llms', 'machine learning techniques', 'natural language processing nlp', 'python programming']",aartificial intelligence data science techniques large language models  llms machine learning techniques natural language processing nlp python programming,2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...","['aartificial intelligence', 'aws', 'azure', 'google cloud platform gcp', 'kubernetesk8s', 'large language models  llms', 'machine learning techniques']",aartificial intelligence aws azure google cloud platform gcp kubernetesk8s large language models  llms machine learning techniques,1
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","['design', 'leadership skill', 'machine learning techniques']",design leadership skill machine learning techniques,0
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","['aartificial intelligence', 'large language models  llms', 'machine learning techniques', 'natural language processing nlp']",aartificial intelligence large language models  llms machine learning techniques natural language processing nlp,2
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,"['amazon redshift', 'apache hadoop', 'data science techniques', 'google bigquery', 'google cloud platform gcp', 'python programming', 'r programming', 'sql']",amazon redshift apache hadoop data science techniques google bigquery google cloud platform gcp python programming r programming sql,1
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'data analytics', 'data science techniques', 'effective communication skills', 'generative ai', 'gpt', 'numpy', 'pandas', 'product management', 'python programming', 'sql']",aartificial intelligence data analytics data science techniques effective communication skills generative ai gpt numpy pandas product management python programming sql,4
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India",4-6 year,"Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...","['aartificial intelligence', 'algorithms', 'data structuring', 'design', 'machine learning techniques']",aartificial intelligence algorithms data structuring design machine learning techniques,0
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'analytical and problem solving', 'api', 'data analysis', 'database', 'design', 'effective communication skills', 'graphql', 'large language models  llms', 'nextjs', 'python programming', 'reactjs', 'teamwork', 'typescript']",aartificial intelligence analytical and problem solving api data analysis database design effective communication skills graphql large language models  llms nextjs python programming reactjs teamwork typescript,3
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models  llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models  llms python programming teamwork,3
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","['aartificial intelligence', 'api', 'data science techniques', 'design', 'effective communication skills', 'large language models  llms', 'python programming', 'teamwork']",aartificial intelligence api data science techniques design effective communication skills large language models  llms python programming teamwork,3
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...","['aartificial intelligence', 'data science techniques', 'large language models  llms', 'machine learning techniques', 'natural language processing nlp', 'python programming']",aartificial intelligence data science techniques large language models  llms machine learning techniques natural language processing nlp python programming,2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...","['aartificial intelligence', 'aws', 'azure', 'google cloud platform gcp', 'kubernetesk8s', 'large language models  llms', 'machine learning techniques']",aartificial intelligence aws azure google cloud platform gcp kubernetesk8s large language models  llms machine learning techniques,1
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","['design', 'leadership skill', 'machine learning techniques']",design leadership skill machine learning techniques,0
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","['aartificial intelligence', 'large language models  llms', 'machine learning techniques', 'natural language processing nlp']",aartificial intelligence large language models  llms machine learning techniques natural language processing nlp,2
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,"['amazon redshift', 'apache hadoop', 'data science techniques', 'google bigquery', 'google cloud platform gcp', 'python programming', 'r programming', 'sql']",amazon redshift apache hadoop data science techniques google bigquery google cloud platform gcp python programming r programming sql,1
